Rating,Ibu,Abv,Ipa,Ale,Pale,American,Lager,Imperial,Stout
4.00,0,5.00,0,0,0,0,0,0,0
1.00,0,4.50,0,0,0,0,0,0,0
3.25,0,4.60,0,0,0,0,0,0,0
2.25,50,3.50,0,1,1,1,0,0,0
2.25,70,4.70,0,1,0,0,0,0,0
3.00,12,2.80,0,0,0,0,0,0,0
4.25,60,9.00,0,0,0,0,0,1,1
3.50,0,4.50,0,0,0,0,0,0,0
2.25,0,4.40,0,0,0,0,1,0,0
3.00,35,7.30,0,1,0,0,0,0,0
3.00,80,6.10,0,0,0,1,0,0,0
4.00,40,5.70,0,1,1,1,0,0,0
3.25,25,6.00,0,0,0,0,0,0,1
5.00,100,9.50,0,0,0,0,0,1,0
2.50,0,5.00,0,0,0,0,0,0,0
5.00,100,8.10,0,1,0,1,0,0,0
4.50,0,6.50,0,0,0,1,0,0,1
2.50,20,4.70,0,0,0,0,0,0,0
3.50,250,7.20,0,0,0,0,0,0,0
5.00,0,8.80,0,0,0,0,0,1,0
4.00,38,0.00,0,1,1,0,0,0,0
1.75,20,4.20,0,0,0,0,1,0,0
2.00,0,4.20,0,0,0,0,1,0,0
3.50,0,4.50,0,0,1,0,1,0,0
3.50,0,4.70,0,0,0,1,1,0,0
4.50,0,5.50,0,1,0,0,0,0,0
4.00,30,7.10,0,0,0,0,0,0,0
3.00,24,6.00,0,1,0,0,0,0,0
3.50,80,6.10,0,1,0,0,0,0,0
4.00,37,5.70,0,0,0,0,0,0,0
3.00,10,6.90,0,1,0,0,0,0,0
2.00,40,6.50,0,0,0,1,0,0,0
3.00,25,3.80,0,1,1,1,0,0,0
3.50,35,9.00,0,0,0,0,0,0,0
3.50,56,8.50,0,0,0,0,0,0,0
4.25,0,6.30,0,0,0,1,0,0,0
3.50,45,6.00,0,0,0,1,0,0,0
3.75,0,8.80,0,0,0,0,0,1,0
4.00,25,6.50,0,0,0,0,0,0,0
3.50,0,5.70,0,0,0,0,0,0,0
3.25,32,4.70,0,0,0,1,1,0,0
4.25,66,11.50,0,0,0,1,0,1,1
4.00,0,4.60,0,0,0,0,1,0,0
4.00,0,9.90,0,0,0,0,0,0,0
3.00,20,4.20,0,0,0,0,0,0,0
2.00,0,0.07,0,0,0,0,0,0,0
4.00,42,10.20,0,0,0,0,0,1,1
3.50,70,6.00,0,0,0,1,0,0,0
4.00,40,4.50,0,1,0,0,0,0,0
3.00,0,4.70,0,0,0,0,0,0,0
2.50,49,6.50,0,1,0,0,0,0,0
2.25,44,5.80,0,0,0,0,0,0,0
3.50,0,9.00,0,0,0,0,0,1,1
4.00,40,6.00,0,1,0,1,0,0,0
3.50,35,4.50,0,1,1,1,0,0,0
4.00,0,4.70,0,1,1,1,0,0,0
3.75,50,8.00,0,1,0,0,0,1,0
4.50,40,8.00,0,0,0,0,0,1,0
1.75,0,6.30,0,1,0,0,0,0,0
4.50,30,4.50,0,0,0,0,1,0,0
2.75,25,10.00,0,0,0,0,0,0,0
3.75,0,6.00,0,0,0,0,0,0,0
1.25,16,0.00,0,0,0,0,0,0,0
3.25,30,4.80,0,0,0,0,0,0,1
1.75,0,7.00,0,0,0,0,0,0,0
3.50,72,10.40,0,0,0,1,0,0,0
3.75,70,6.20,0,0,0,1,0,0,0
4.00,50,6.20,0,1,1,0,0,0,0
3.50,10,4.50,0,0,0,0,0,0,0
2.25,23,5.50,0,1,0,0,0,0,0
4.50,10,4.70,0,0,0,0,0,0,0
3.25,25,4.50,0,0,0,0,0,0,0
2.25,0,4.50,0,0,0,0,1,0,0
4.25,0,10.50,0,0,0,0,0,0,0
4.50,23,7.50,0,1,0,0,0,0,0
3.50,33,5.40,0,0,0,0,0,0,1
3.50,0,6.00,0,0,0,1,0,0,0
3.75,0,6.00,0,1,0,1,0,0,0
4.00,107,8.00,0,0,0,0,0,1,0
3.75,60,7.50,0,0,0,1,0,0,0
4.25,0,5.30,0,0,0,1,0,0,0
3.75,0,8.20,0,0,0,0,0,1,0
3.50,45,4.70,0,1,1,1,0,0,0
3.50,38,6.00,0,0,0,0,0,0,0
4.50,250,7.20,0,0,0,0,0,0,0
4.00,0,7.00,0,1,0,0,0,0,0
3.50,50,6.50,0,0,0,1,0,0,0
3.50,50,4.70,0,1,0,0,0,0,0
1.50,30,4.70,0,1,1,1,0,0,0
3.00,50,4.50,0,1,0,0,0,0,0
4.25,0,4.30,0,1,0,0,0,0,0
4.50,22,5.50,0,0,0,0,0,0,0
3.50,50,4.70,0,1,0,0,0,0,0
3.75,70,6.00,0,0,0,1,0,0,0
3.75,20,5.50,0,1,0,0,0,0,0
2.50,29,5.30,0,0,0,0,0,0,0
2.75,0,5.90,0,0,1,0,1,0,0
3.00,0,5.40,0,0,0,0,1,0,0
3.50,23,5.60,0,0,0,0,0,0,0
3.75,40,4.70,0,1,0,0,0,0,0
3.50,50,6.80,0,1,0,0,0,0,0
4.00,45,4.70,0,0,0,0,0,0,0
3.50,0,4.70,0,0,0,0,0,0,0
3.75,0,5.80,0,0,0,0,0,0,0
3.25,45,4.60,0,0,0,0,0,0,0
5.00,85,8.00,0,0,0,1,0,1,1
3.25,22,4.60,0,0,0,0,1,0,0
3.25,60,6.20,0,0,0,1,0,0,0
4.25,25,5.70,0,1,0,0,0,0,0
2.50,20,4.50,0,0,0,0,0,0,0
3.00,40,5.25,0,0,0,0,0,0,0
3.75,0,4.50,0,0,0,0,0,0,1
4.25,18,5.00,0,0,0,0,0,0,0
3.50,0,7.00,0,0,0,0,0,0,0
4.00,0,5.50,0,0,0,0,0,0,0
3.50,12,5.00,0,0,0,0,0,0,0
4.00,0,4.70,0,0,0,0,0,0,0
3.75,0,4.50,0,0,0,0,0,0,0
2.75,0,4.70,0,0,0,0,0,0,0
4.75,85,10.90,0,0,0,1,0,0,0
4.75,50,8.00,0,0,0,0,0,1,1
3.75,35,4.60,0,0,0,0,0,0,0
4.00,32,3.40,0,1,0,0,0,0,0
2.50,10,5.40,0,0,0,0,0,0,0
4.25,32,7.00,0,0,0,0,0,0,1
4.25,50,5.70,0,1,1,1,0,0,0
4.75,90,16.10,0,0,0,0,0,1,1
3.75,0,7.50,0,1,0,0,0,0,0
4.50,100,15.00,0,0,0,1,0,1,1
